"","Var1","Var2","value"
"1",0.3,"PC-corrected",17741
"2",0.314285714285714,"PC-corrected",15502
"3",0.328571428571429,"PC-corrected",13688
"4",0.342857142857143,"PC-corrected",12174
"5",0.357142857142857,"PC-corrected",10936
"6",0.371428571428571,"PC-corrected",9851
"7",0.385714285714286,"PC-corrected",8945
"8",0.4,"PC-corrected",8086
"9",0.414285714285714,"PC-corrected",7328
"10",0.428571428571429,"PC-corrected",6701
"11",0.442857142857143,"PC-corrected",6100
"12",0.457142857142857,"PC-corrected",5566
"13",0.471428571428571,"PC-corrected",5102
"14",0.485714285714286,"PC-corrected",4660
"15",0.5,"PC-corrected",4284
"16",0.514285714285714,"PC-corrected",3885
"17",0.528571428571429,"PC-corrected",3614
"18",0.542857142857143,"PC-corrected",3319
"19",0.557142857142857,"PC-corrected",3032
"20",0.571428571428571,"PC-corrected",2754
"21",0.585714285714286,"PC-corrected",2504
"22",0.6,"PC-corrected",2285
"23",0.614285714285714,"PC-corrected",2052
"24",0.628571428571429,"PC-corrected",1855
"25",0.642857142857143,"PC-corrected",1663
"26",0.657142857142857,"PC-corrected",1482
"27",0.671428571428571,"PC-corrected",1323
"28",0.685714285714286,"PC-corrected",1158
"29",0.7,"PC-corrected",1031
"30",0.714285714285714,"PC-corrected",920
"31",0.728571428571429,"PC-corrected",818
"32",0.742857142857143,"PC-corrected",722
"33",0.757142857142857,"PC-corrected",639
"34",0.771428571428571,"PC-corrected",574
"35",0.785714285714286,"PC-corrected",517
"36",0.8,"PC-corrected",458
"37",0.814285714285714,"PC-corrected",405
"38",0.828571428571429,"PC-corrected",356
"39",0.842857142857143,"PC-corrected",324
"40",0.857142857142857,"PC-corrected",290
"41",0.871428571428571,"PC-corrected",248
"42",0.885714285714286,"PC-corrected",214
"43",0.9,"PC-corrected",181
"44",0.914285714285714,"PC-corrected",142
"45",0.928571428571429,"PC-corrected",108
"46",0.942857142857143,"PC-corrected",87
"47",0.957142857142857,"PC-corrected",48
"48",0.971428571428571,"PC-corrected",1
"49",0.985714285714286,"PC-corrected",0
"50",1,"PC-corrected",0
"51",0.3,"half-PC",40406
"52",0.314285714285714,"half-PC",35552
"53",0.328571428571429,"half-PC",31537
"54",0.342857142857143,"half-PC",28069
"55",0.357142857142857,"half-PC",25195
"56",0.371428571428571,"half-PC",22663
"57",0.385714285714286,"half-PC",20570
"58",0.4,"half-PC",18665
"59",0.414285714285714,"half-PC",17053
"60",0.428571428571429,"half-PC",15545
"61",0.442857142857143,"half-PC",14211
"62",0.457142857142857,"half-PC",12929
"63",0.471428571428571,"half-PC",11855
"64",0.485714285714286,"half-PC",10878
"65",0.5,"half-PC",9963
"66",0.514285714285714,"half-PC",9127
"67",0.528571428571429,"half-PC",8327
"68",0.542857142857143,"half-PC",7613
"69",0.557142857142857,"half-PC",6970
"70",0.571428571428571,"half-PC",6367
"71",0.585714285714286,"half-PC",5764
"72",0.6,"half-PC",5208
"73",0.614285714285714,"half-PC",4668
"74",0.628571428571429,"half-PC",4169
"75",0.642857142857143,"half-PC",3742
"76",0.657142857142857,"half-PC",3310
"77",0.671428571428571,"half-PC",2937
"78",0.685714285714286,"half-PC",2603
"79",0.7,"half-PC",2296
"80",0.714285714285714,"half-PC",2009
"81",0.728571428571429,"half-PC",1769
"82",0.742857142857143,"half-PC",1541
"83",0.757142857142857,"half-PC",1329
"84",0.771428571428571,"half-PC",1124
"85",0.785714285714286,"half-PC",930
"86",0.8,"half-PC",760
"87",0.814285714285714,"half-PC",617
"88",0.828571428571429,"half-PC",484
"89",0.842857142857143,"half-PC",404
"90",0.857142857142857,"half-PC",332
"91",0.871428571428571,"half-PC",274
"92",0.885714285714286,"half-PC",227
"93",0.9,"half-PC",186
"94",0.914285714285714,"half-PC",145
"95",0.928571428571429,"half-PC",107
"96",0.942857142857143,"half-PC",72
"97",0.957142857142857,"half-PC",46
"98",0.971428571428571,"half-PC",1
"99",0.985714285714286,"half-PC",0
"100",1,"half-PC",0
"101",0.3,"quarter-PC",70750
"102",0.314285714285714,"quarter-PC",65190
"103",0.328571428571429,"quarter-PC",60033
"104",0.342857142857143,"quarter-PC",55270
"105",0.357142857142857,"quarter-PC",50748
"106",0.371428571428571,"quarter-PC",46671
"107",0.385714285714286,"quarter-PC",42732
"108",0.4,"quarter-PC",39159
"109",0.414285714285714,"quarter-PC",35710
"110",0.428571428571429,"quarter-PC",32699
"111",0.442857142857143,"quarter-PC",29829
"112",0.457142857142857,"quarter-PC",27150
"113",0.471428571428571,"quarter-PC",24625
"114",0.485714285714286,"quarter-PC",22405
"115",0.5,"quarter-PC",20230
"116",0.514285714285714,"quarter-PC",18382
"117",0.528571428571429,"quarter-PC",16636
"118",0.542857142857143,"quarter-PC",15131
"119",0.557142857142857,"quarter-PC",13652
"120",0.571428571428571,"quarter-PC",12267
"121",0.585714285714286,"quarter-PC",10998
"122",0.6,"quarter-PC",9894
"123",0.614285714285714,"quarter-PC",8813
"124",0.628571428571429,"quarter-PC",7891
"125",0.642857142857143,"quarter-PC",7031
"126",0.657142857142857,"quarter-PC",6250
"127",0.671428571428571,"quarter-PC",5491
"128",0.685714285714286,"quarter-PC",4823
"129",0.7,"quarter-PC",4194
"130",0.714285714285714,"quarter-PC",3596
"131",0.728571428571429,"quarter-PC",3084
"132",0.742857142857143,"quarter-PC",2625
"133",0.757142857142857,"quarter-PC",2240
"134",0.771428571428571,"quarter-PC",1848
"135",0.785714285714286,"quarter-PC",1542
"136",0.8,"quarter-PC",1254
"137",0.814285714285714,"quarter-PC",984
"138",0.828571428571429,"quarter-PC",736
"139",0.842857142857143,"quarter-PC",576
"140",0.857142857142857,"quarter-PC",428
"141",0.871428571428571,"quarter-PC",310
"142",0.885714285714286,"quarter-PC",238
"143",0.9,"quarter-PC",181
"144",0.914285714285714,"quarter-PC",132
"145",0.928571428571429,"quarter-PC",96
"146",0.942857142857143,"quarter-PC",74
"147",0.957142857142857,"quarter-PC",54
"148",0.971428571428571,"quarter-PC",1
"149",0.985714285714286,"quarter-PC",0
"150",1,"quarter-PC",0
"151",0.3,"exnoic rate",103179
"152",0.314285714285714,"exnoic rate",100497
"153",0.328571428571429,"exnoic rate",97846
"154",0.342857142857143,"exnoic rate",95422
"155",0.357142857142857,"exnoic rate",92897
"156",0.371428571428571,"exnoic rate",90343
"157",0.385714285714286,"exnoic rate",87532
"158",0.4,"exnoic rate",84920
"159",0.414285714285714,"exnoic rate",82012
"160",0.428571428571429,"exnoic rate",78921
"161",0.442857142857143,"exnoic rate",75726
"162",0.457142857142857,"exnoic rate",72384
"163",0.471428571428571,"exnoic rate",68656
"164",0.485714285714286,"exnoic rate",64830
"165",0.5,"exnoic rate",60981
"166",0.514285714285714,"exnoic rate",56872
"167",0.528571428571429,"exnoic rate",52703
"168",0.542857142857143,"exnoic rate",48398
"169",0.557142857142857,"exnoic rate",44113
